@nItem,prod.NCM,prod.CFOP,prod.cEAN,prod.qCom,prod.uCom,prod.cProd,prod.qTrib,prod.uTrib,prod.vProd,prod.xProd,prod.indTot,prod.vUnCom,prod.vUnTrib,prod.cEANTrib,prod.nItemPed,imposto.PIS.PISNT.CST,imposto.ICMS.ICMS51.CST,imposto.ICMS.ICMS51.vBC,imposto.ICMS.ICMS51.orig,imposto.ICMS.ICMS51.pDif,imposto.ICMS.ICMS51.modBC,imposto.ICMS.ICMS51.pICMS,imposto.ICMS.ICMS51.vICMS,imposto.ICMS.ICMS51.pRedBC,imposto.ICMS.ICMS51.vICMSOp,imposto.ICMS.ICMS51.vICMSDif,imposto.COFINS.COFINSNT.CST,imposto.vTotTrib,id,imposto.ICMS.ICMS40.CST,imposto.ICMS.ICMS40.orig,infAdProd,prod.xPed,prod.rastro.dFab,prod.rastro.dVal,prod.rastro.nLote,prod.rastro.qLote,imposto.IPI.cEnq,imposto.IPI.IPITrib.CST,imposto.IPI.IPITrib.vBC,imposto.IPI.IPITrib.pIPI,imposto.IPI.IPITrib.vIPI,prod.comb.UFCons,prod.comb.descANP,prod.comb.cProdANP,prod.cBenef,imposto.PIS.PISAliq.CST,imposto.PIS.PISAliq.vBC,imposto.PIS.PISAliq.pPIS,imposto.PIS.PISAliq.vPIS,imposto.ICMS.ICMSST.CST,imposto.ICMS.ICMSST.pST,imposto.ICMS.ICMSST.orig,imposto.ICMS.ICMSST.vBCEfet,imposto.ICMS.ICMSST.vBCSTRet,imposto.ICMS.ICMSST.pICMSEfet,imposto.ICMS.ICMSST.vBCSTDest,imposto.ICMS.ICMSST.vICMSEfet,imposto.ICMS.ICMSST.pRedBCEfet,imposto.ICMS.ICMSST.vICMSSTRet,imposto.ICMS.ICMSST.vICMSSTDest,imposto.ICMS.ICMSST.vICMSSubstituto,imposto.COFINS.COFINSAliq.CST,imposto.COFINS.COFINSAliq.vBC,imposto.COFINS.COFINSAliq.pCOFINS,imposto.COFINS.COFINSAliq.vCOFINS,prod.CEST,prod.comb.encerrante.nBico,prod.comb.encerrante.nBomba,prod.comb.encerrante.nTanque,prod.comb.encerrante.vEncFin,prod.comb.encerrante.vEncIni,prod.indEscala,imposto.IPI.IPINT.CST,imposto.PIS.PISOutr.CST,imposto.PIS.PISOutr.vPIS,imposto.PIS.PISOutr.qBCProd,imposto.PIS.PISOutr.vAliqProd,imposto.COFINS.COFINSOutr.CST,imposto.COFINS.COFINSOutr.qBCProd,imposto.COFINS.COFINSOutr.vCOFINS,imposto.COFINS.COFINSOutr.vAliqProd,imposto.ICMS.ICMS60.CST,imposto.ICMS.ICMS60.pST,imposto.ICMS.ICMS60.orig,imposto.ICMS.ICMS60.vBCSTRet,imposto.ICMS.ICMS60.vICMSSTRet,imposto.ICMS.ICMS60.vICMSSubstituto,imposto.ICMS.ICMS40.motDesICMS,imposto.ICMS.ICMS40.vICMSDeson,imposto.PIS.PISOutr.vBC,imposto.PIS.PISOutr.pPIS,imposto.COFINS.COFINSOutr.vBC,imposto.COFINS.COFINSOutr.pCOFINS,imposto.ICMS.ICMS90.CST,imposto.ICMS.ICMS90.vBC,imposto.ICMS.ICMS90.orig,imposto.ICMS.ICMS90.modBC,imposto.ICMS.ICMS90.pICMS,imposto.ICMS.ICMS90.vBCST,imposto.ICMS.ICMS90.vICMS,imposto.ICMS.ICMS90.pFCPST,imposto.ICMS.ICMS90.vFCPST,imposto.ICMS.ICMS90.modBCST,imposto.ICMS.ICMS90.pICMSST,imposto.ICMS.ICMS90.vICMSST,imposto.ICMS.ICMS90.vBCFCPST,imposto.ICMS.ICMS20.CST,imposto.ICMS.ICMS20.vBC,imposto.ICMS.ICMS20.orig,imposto.ICMS.ICMS20.modBC,imposto.ICMS.ICMS20.pICMS,imposto.ICMS.ICMS20.vICMS,imposto.ICMS.ICMS20.pRedBC,prod.rastro,prod.vDesc,prod.EXTIPI,imposto.ICMS.ICMSSN500.pST,imposto.ICMS.ICMSSN500.orig,imposto.ICMS.ICMSSN500.CSOSN,imposto.ICMS.ICMSSN500.vBCSTRet,imposto.ICMS.ICMSSN500.vICMSSTRet,imposto.ICMS.ICMSSN500.vICMSSubstituto,imposto.ICMS.ICMS20.motDesICMS,imposto.ICMS.ICMS20.vICMSDeson,imposto.ICMS.ICMS60.vBCEfet,imposto.ICMS.ICMS60.pICMSEfet,imposto.ICMS.ICMS60.vICMSEfet,imposto.ICMS.ICMS60.pRedBCEfet,imposto.ICMS.ICMS00.CST,imposto.ICMS.ICMS00.vBC,imposto.ICMS.ICMS00.orig,imposto.ICMS.ICMS00.modBC,imposto.ICMS.ICMS00.pICMS,imposto.ICMS.ICMS00.vICMS,imposto.IPI.CNPJProd,imposto.ICMS.ICMS90.pRedBC,impostoDevol.IPI.vIPIDevol,impostoDevol.pDevol,prod.med.vPMC,prod.med.cProdANVISA,prod.med.xMotivoIsencao,imposto.IPI.IPITrib.qUnid,imposto.IPI.IPITrib.vUnid,imposto.ICMS.ICMSSN102.orig,imposto.ICMS.ICMSSN102.CSOSN
1,10059010,5132,SEM GTIN,50000.0,KG,2,50000.0,KG,68333.33,MILHO EM GRAOS,1,1.3666666000,1.3666666000,SEM GTIN,0,09,51,0.00,0,0.0000,3,0.0000,0.00,0.0000,0.00,0.00,09,0.00,205388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10059010,5132,SEM GTIN,51710.0,KG,2,51710.0,KG,70670.33,MILHO EM GRAOS,1,1.3666666022,1.3666666022,SEM GTIN,0,09,51,0.00,0,0.0000,3,0.0000,0.00,0.0000,0.00,0.00,09,0.00,205439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10059010,5905,SEM GTIN,50000.0,KG,2,50000.0,KG,50000.00,MILHO EM GRAOS,1,1.0000000000,1.0000000000,SEM GTIN,0,09,,,,,,,,,,,09,0.00,205453,41,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10059010,5132,SEM GTIN,50000.0,KG,2,50000.0,KG,68333.33,MILHO EM GRAOS,1,1.3666666000,1.3666666000,SEM GTIN,0,09,51,0.00,0,0.0000,3,0.0000,0.00,0.0000,0.00,0.00,09,0.00,205471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,83021000,5949,SEM GTIN,2.0,PC,530,2.0,PC,340.00,DOBRADICA FERRADURA N 05 PAR CH 1 4 P 5 8 F 3 8,1,170.0000000000,170.0000000000,SEM GTIN,0,09,,,,,,,,,,,09,0.00,205527,40,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10059010,5905,SEM GTIN,50000.0,KG,2,50000.0,KG,50000.00,MILHO EM GRAOS,1,1.0000000000,1.0000000000,SEM GTIN,0,09,,,,,,,,,,,09,0.00,205532,41,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10059010,5132,SEM GTIN,50000.0,KG,2,50000.0,KG,68333.33,MILHO EM GRAOS,1,1.3666666000,1.3666666000,SEM GTIN,0,09,51,0.00,0,0.0000,3,0.0000,0.00,0.0000,0.00,0.00,09,0.00,205544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10059010,5132,SEM GTIN,50000.0,KG,2,50000.0,KG,68333.33,MILHO EM GRAOS,1,1.3666666000,1.3666666000,SEM GTIN,0,09,51,0.00,0,0.0000,3,0.0000,0.00,0.0000,0.00,0.00,09,0.00,205566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10059010,5132,SEM GTIN,50000.0,KG,2,50000.0,KG,68333.33,MILHO EM GRAOS,1,1.3666666000,1.3666666000,SEM GTIN,0,09,51,0.00,0,0.0000,3,0.0000,0.00,0.0000,0.00,0.00,09,0.00,205634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10059010,5905,SEM GTIN,50000.0,KG,2,50000.0,KG,50000.00,MILHO EM GRAOS,1,1.0000000000,1.0000000000,SEM GTIN,0,09,,,,,,,,,,,09,0.00,205636,41,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10059010,5905,SEM GTIN,50000.0,KG,2,50000.0,KG,50000.00,MILHO EM GRAOS,1,1.0000000000,1.0000000000,SEM GTIN,0,09,,,,,,,,,,,09,0.00,205642,41,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,07133399,5101,SEM GTIN,50000.0,KG,153,50000.0,KG,258333.33,FEIJAO CARIOCA,1,5.1666666000,5.1666666000,SEM GTIN,0,09,51,0.00,0,0.0000,3,0.0000,0.00,0.0000,0.00,0.00,09,0.00,205699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10059010,5132,SEM GTIN,50000.0,KG,2,50000.0,KG,68333.33,MILHO EM GRAOS,1,1.3666666000,1.3666666000,SEM GTIN,0,09,51,0.00,0,0.0000,3,0.0000,0.00,0.0000,0.00,0.00,09,0.00,205703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,07133399,5101,SEM GTIN,50000.0,KG,153,50000.0,KG,258333.33,FEIJAO CARIOCA,1,5.1666666000,5.1666666000,SEM GTIN,0,09,51,0.00,0,0.0000,3,0.0000,0.00,0.0000,0.00,0.00,09,0.00,205725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10059010,5132,SEM GTIN,50000.0,KG,2,50000.0,KG,68333.33,MILHO EM GRAOS,1,1.3666666000,1.3666666000,SEM GTIN,0,09,51,0.00,0,0.0000,3,0.0000,0.00,0.0000,0.00,0.00,09,0.00,205727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10059010,5132,SEM GTIN,50000.0,KG,2,50000.0,KG,68333.33,MILHO EM GRAOS,1,1.3666666000,1.3666666000,SEM GTIN,0,09,51,0.00,0,0.0000,3,0.0000,0.00,0.0000,0.00,0.00,09,0.00,205742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
